id,sentence,subject,relation,object,confidence,_preprocessed_text,_original_len,_preprocessed_len
1,The Amazon River flows through Brazil (sample 0).,Amazon River,flows_through,Brazil,0.87,amazon river flow through brazil sample,49,39
2,Apple Inc (sample 1). is headquartered in Cupertino (sample 1).,Apple Inc.,headquartered_in,Cupertino,0.85,apple inc sample headquarter cupertino sample,63,45
3,The Eiffel Tower is located in Paris (sample 2).,Eiffel Tower,located_in,Paris,0.72,eiffel tower locat pari sample,48,30
4,Mount Everest is part of the Himalayas (sample 3).,Mount Everest,part_of,Himalayas,0.96,mount everest part himalaya sample,50,34
5,Saturn is the sixth planet from the Sun (sample 4).,Saturn,order_from_sun,6,0.78,saturn sixth planet sun sample,51,30
6,The Pacific Ocean is the largest ocean (sample 5).,Pacific Ocean,largest_ocean,True,0.79,pacific ocean largest ocean sample,50,34
7,Mumbai is a city in India (sample 6).,Mumbai,located_in,India,0.87,mumbai city india sample,37,24
8,The movie Inception was directed by Christopher Nolan (sample 7).,Inception,directed_by,Christopher Nolan,0.78,movie inception direct christopher nolan sample,65,47
9,Saturn is the sixth planet from the Sun (sample 8).,Saturn,order_from_sun,6,0.92,saturn sixth planet sun sample,51,30
10,Apple Inc (sample 9). is headquartered in Cupertino (sample 9).,Apple Inc.,headquartered_in,Cupertino,0.85,apple inc sample headquarter cupertino sample,63,45
11,The Great Wall of China is in China (sample 10).,Great Wall of China,located_in,China,0.93,great wall china china sample,48,29
12,The Nile is the longest river in Africa (sample 11).,Nile,longest_in,Africa,0.83,nile longest river africa sample,52,32
13,Saturn is the sixth planet from the Sun (sample 12).,Saturn,order_from_sun,6,0.95,saturn sixth planet sun sample,52,30
14,Mozart composed The Magic Flute (sample 13).,Mozart,composed,The Magic Flute,0.89,mozart compos magic flute sample,44,32
15,The Pacific Ocean is the largest ocean (sample 14).,Pacific Ocean,largest_ocean,True,0.76,pacific ocean largest ocean sample,51,34
16,Shakespeare wrote Hamlet (sample 15).,Shakespeare,wrote,Hamlet,0.83,shakespeare wrote hamlet sample,37,31
17,The Nile is the longest river in Africa (sample 16).,Nile,longest_in,Africa,0.81,nile longest river africa sample,52,32
18,Mozart composed The Magic Flute (sample 17).,Mozart,composed,The Magic Flute,0.86,mozart compos magic flute sample,44,32
19,Mozart composed The Magic Flute (sample 18).,Mozart,composed,The Magic Flute,0.86,mozart compos magic flute sample,44,32
